Gene name	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]
Cass4	CASS4	ortholog_one2one	1
Ndufa6	NDUFA6	ortholog_one2one	1
Neu3	NEU3	ortholog_one2one	1
Lgals3	LGALS3	ortholog_one2one	1
Myo1h	MYO1H	ortholog_one2one	1
Rpl23a	RPL23A	ortholog_one2one	1
Adgrl3	ADGRL3	ortholog_one2one	1
Dpep2nb	DPEP2NB	ortholog_one2one	1
Dus2	DUS2	ortholog_one2one	1
Smarcad1	SMARCAD1	ortholog_one2one	1
Gzmf	GZMB	ortholog_one2many	0
Olfr677	OR52E4	ortholog_one2one	1
Timmdc1	TIMMDC1	ortholog_one2one	1
Tlcd1	TLCD1	ortholog_one2one	1
Ing1	ING1	ortholog_one2one	1
Olfml2b	OLFML2B	ortholog_one2one	1
Treh	TREH	ortholog_one2one	1
Wdr83os	WDR83OS	ortholog_one2one	1
Esd	ESD	ortholog_one2one	1
Ifi204	MNDA	ortholog_one2many	0
Gm8332	EIF1AY	ortholog_one2many	0
Dtx1	DTX1	ortholog_one2one	1
Zbtb22	ZBTB22	ortholog_one2one	1
Gpr35	GPR35	ortholog_one2one	1
Hexdc	HEXD	ortholog_one2one	1
Dpep2	DPEP2	ortholog_one2many	1
Dhps	AC010422.8	ortholog_one2many	0
Dhps	DHPS	ortholog_one2many	1
Tapbp	TAPBP	ortholog_one2one	1
Cyb5rl	AL357673.1	ortholog_one2many	0
Cyb5rl	CYB5RL	ortholog_one2many	1
Hsd17b13	HSD17B13	ortholog_one2one	1
Cdk13	CDK13	ortholog_one2one	1
Pofut2	POFUT2	ortholog_one2one	1
Ss18	SS18	ortholog_one2one	1
Exoc2	EXOC2	ortholog_one2one	1
Xrra1	XRRA1	ortholog_one2one	1
Nkx2-6	NKX2-6	ortholog_one2one	1
Phldb1	PHLDB1	ortholog_one2one	1
Wdr83	WDR83	ortholog_one2one	1
Tbca	TBCA	ortholog_one2one	1
Hgf	HGF	ortholog_one2one	1
Ddx28	DDX28	ortholog_one2one	1
Gm5662	EIF1AY	ortholog_one2many	0
Dpep2	DPEP2	ortholog_one2many	1
4932414N04Rik	ANKRD62	ortholog_one2many	0
A930017K11Rik	PRR35	ortholog_one2one	1
Otp	OTP	ortholog_one2one	1
Hmgn5	HMGN5	ortholog_one2one	0
Capn15	CAPN15	ortholog_one2one	1
Nlrp4f	NLRP4	ortholog_one2many	0
Ces3b	CES3	ortholog_one2many	1
Dpep3	DPEP3	ortholog_one2one	1
Ogfod3	OGFOD3	ortholog_one2one	1
Etfa	ETFA	ortholog_one2one	1
Hlcs	HLCS	ortholog_one2one	1
Iqgap3	IQGAP3	ortholog_one2one	1
Lmtk2	LMTK2	ortholog_one2one	1
Rpe65	RPE65	ortholog_one2one	1
Mfap3	MFAP3	ortholog_one2one	1
Ccdc184	CCDC184	ortholog_one2one	1
Mroh6	MROH6	ortholog_one2one	1
Ccn4	CCN4	ortholog_one2one	1
Unkl	UNKL	ortholog_one2one	0
Trib3	TRIB3	ortholog_one2one	1
Zcchc8	ZCCHC8	ortholog_one2one	1
Aqp12	AQP12A	ortholog_one2many	1
Aqp12	AQP12B	ortholog_one2many	1
Trip10	TRIP10	ortholog_one2one	1
Cadm1	CADM1	ortholog_one2one	1
Cib3	CIB3	ortholog_one2one	1
Spcs2	SPCS2	ortholog_one2one	1
Gm5039	EIF1AY	ortholog_one2many	0
Nkx3-1	NKX3-1	ortholog_one2one	1
Abraxas1	ABRAXAS1	ortholog_one2one	1
Cers6	CERS6	ortholog_one2one	1
Usp38	USP38	ortholog_one2one	1
Atf6	ATF6	ortholog_one2one	1
B4galt5	B4GALT5	ortholog_one2one	1
Fbrsl1	FBRSL1	ortholog_one2one	1
Rab11fip3	RAB11FIP3	ortholog_one2one	1
Galnt10	GALNT10	ortholog_one2one	1
Faim2	FAIM2	ortholog_one2one	1
Fbxo47	FBXO47	ortholog_one2one	1
Gfi1	GFI1	ortholog_one2one	1
Tnfsf13	TNFSF13	ortholog_one2one	1
Herc1	HERC1	ortholog_one2one	1
Pigx	PIGX	ortholog_one2one	1
Cdc42se1	CDC42SE1	ortholog_one2one	1
Calhm2	CALHM2	ortholog_one2one	1
Nsd2	NSD2	ortholog_one2one	1
Cog2	COG2	ortholog_one2one	1
Tmprss13	TMPRSS13	ortholog_one2one	1
Dusp12	DUSP12	ortholog_one2one	1
Tnfrsf22	TNFRSF10B	ortholog_many2many	0
Tnfrsf22	TNFRSF10D	ortholog_many2many	0
Tnfrsf22	TNFRSF10C	ortholog_many2many	0
Pdcd11	PDCD11	ortholog_one2one	1
Sun1	SUN1	ortholog_one2one	1
Nrsn2	NRSN2	ortholog_one2one	1
Pdpk1	PDPK1	ortholog_one2one	1
Gabpb2	GABPB2	ortholog_one2one	1
Poglut1	POGLUT1	ortholog_one2one	1
Tnfsfm13	TNFSF12-TNFSF13	ortholog_one2one	1
Sap18b	SAP18	ortholog_one2many	0
Hus1b	HUS1B	ortholog_one2one	1
Mixl1	MIXL1	ortholog_one2one	1
Acvrl1	ACVRL1	ortholog_one2one	1
Fzd3	FZD3	ortholog_one2one	1
Fam209	FAM209B	ortholog_one2many	1
Fam209	FAM209A	ortholog_one2many	1
Alx1	ALX1	ortholog_one2one	1
Acbd3	ACBD3	ortholog_one2one	1
Tnfrsf26	TNFRSF10B	ortholog_many2many	0
Tnfrsf26	TNFRSF10D	ortholog_many2many	0
Tnfrsf26	TNFRSF10C	ortholog_many2many	0
Agt	AGT	ortholog_one2one	1
Mllt11	MLLT11	ortholog_one2one	1
Ces4a	CES4A	ortholog_one2one	1
Prrt1	PRRT1	ortholog_one2one	1
Tshz1	TSHZ1	ortholog_one2one	1
Syt17	SYT17	ortholog_one2one	1
Isl2	ISL2	ortholog_one2one	1
Tnr	TNR	ortholog_one2one	1
Prdm9	PRDM7	ortholog_one2one	0
Ptprg	PTPRG	ortholog_one2one	1
Crybb1	CRYBB1	ortholog_one2one	1
Zadh2	ZADH2	ortholog_one2one	1
Zc3h11a	ZC3H11B	ortholog_many2many	1
Zc3h11a	ZC3H11A	ortholog_many2many	1
Tnfrsf23	TNFRSF10B	ortholog_many2many	0
Tnfrsf23	TNFRSF10D	ortholog_many2many	0
Tnfrsf23	TNFRSF10C	ortholog_many2many	0
1600014C10Rik	C19orf12	ortholog_one2one	1
Cd96	CD96	ortholog_one2one	1
Fbxl22	FBXL22	ortholog_one2one	0
Wdr41	WDR41	ortholog_one2one	1
Tnfsf12	TNFSF12	ortholog_one2one	1
Ablim2	ABLIM2	ortholog_one2one	1
Rad23a	RAD23A	ortholog_one2one	1
Bhlha15	BHLHA15	ortholog_one2one	1
Gm38394	ZBED6	ortholog_one2many	1
Lysmd2	LYSMD2	ortholog_one2one	1
Exd2	EXD2	ortholog_one2one	1
Fkbpl	FKBPL	ortholog_one2one	1
Ttll10	TTLL10	ortholog_one2one	1
Gpat3	GPAT3	ortholog_one2one	1
Capn9	CAPN9	ortholog_one2one	1
Slc12a7	SLC12A7	ortholog_one2one	1
Heatr4	HEATR4	ortholog_one2one	1
Gadd45gip1	GADD45GIP1	ortholog_one2one	1
Krtap8-1	KRTAP8-1	ortholog_one2one	1
Tecpr1	TECPR1	ortholog_one2one	1
Krtap7-1	KRTAP7-1	ortholog_one2one	1
Zbed6	ZBED6	ortholog_one2many	1
Dand5	DAND5	ortholog_one2one	1
Krtap11-1	KRTAP11-1	ortholog_one2one	1
Sh3bgrl	SH3BGRL	ortholog_one2one	1
Pcca	PCCA	ortholog_one2one	1
Kif1c	KIF1C	ortholog_one2one	1
Nipa2	NIPA2	ortholog_one2one	1
Cyp1a2	CYP1A2	ortholog_one2one	1
Cep19	CEP19	ortholog_one2one	1
Armc12	ARMC12	ortholog_one2one	1
Spats1	SPATS1	ortholog_one2one	1
Rbl2	RBL2	ortholog_one2one	1
Rhcg	RHCG	ortholog_one2one	1
Syt3	SYT3	ortholog_one2one	1
Sox12	SOX12	ortholog_one2one	1
Irx4	IRX4	ortholog_one2one	1
Smim1	SMIM1	ortholog_one2one	1
Galnt16	GALNT16	ortholog_one2one	1
Tfap2c	TFAP2C	ortholog_one2one	1
Zcchc3	ZCCHC3	ortholog_one2one	1
Atf6b	ATF6B	ortholog_one2one	1
Cdc5l	CDC5L	ortholog_one2many	1
Tlr1	TLR1	ortholog_one2one	1
Fbxo16	FBXO16	ortholog_one2one	1
Dhx8	DHX8	ortholog_one2one	1
Scg3	SCG3	ortholog_one2one	1
Opa1	OPA1	ortholog_one2one	1
Myl10	MYL10	ortholog_one2one	1
1700008O03Rik	C19orf81	ortholog_one2one	1
H1foo	H1FOO	ortholog_one2one	0
Lrrc47	LRRC47	ortholog_one2one	1
Alms1	ALMS1	ortholog_one2one	0
Ggact	GGACT	ortholog_one2one	1
Galnt9	GALNT9	ortholog_one2one	1
Ap3d1	AP3D1	ortholog_one2one	1
Shank1	SHANK1	ortholog_one2one	1
Oas2	OAS2	ortholog_one2one	1
2310022B05Rik	C1orf198	ortholog_one2one	1
Gm4737	AHCY	ortholog_one2many	0
Sftpc	SFTPC	ortholog_one2one	1
Rcc2	RCC2	ortholog_one2one	1
Tmtc4	TMTC4	ortholog_one2one	1
Fam32a	FAM32A	ortholog_one2one	1
Hnrnpa1	HNRNPA1	ortholog_one2one	1
Vangl1	VANGL1	ortholog_one2one	1
Col26a1	COL26A1	ortholog_one2one	1
Aktip	AKTIP	ortholog_one2one	1
Cdcp2	CDCP2	ortholog_one2one	1
Zfp407	ZNF407	ortholog_one2one	1
Cetn3	CETN3	ortholog_one2one	1
Lgr5	LGR5	ortholog_one2one	1
Thy1	THY1	ortholog_one2one	1
Itpripl2	ITPRIPL2	ortholog_one2one	1
Lax1	LAX1	ortholog_one2one	1
Cbfb	CBFB	ortholog_one2one	1
Map3k2	MAP3K2	ortholog_one2one	1
Nelfa	NELFA	ortholog_one2one	1
Ndufs6	NDUFS6	ortholog_one2one	1
Vav1	VAV1	ortholog_one2one	1
Tmem59	TMEM59	ortholog_one2one	1
Mrpl36	MRPL36	ortholog_one2one	1
Cd40	CD40	ortholog_one2one	1
Palm	PALM	ortholog_one2one	1
Tlr6	TLR6	ortholog_one2one	1
Gm44579	OR10AD1	ortholog_one2many	1
Acot2	ACOT2	ortholog_many2many	0
Acot2	ACOT1	ortholog_many2many	1
Olfr288	OR10AD1	ortholog_one2many	1
Rbl1	RBL1	ortholog_one2one	1
Casp7	CASP7	ortholog_one2one	1
Vps39	VPS39	ortholog_one2one	1
Oog2	PRAMEF2	ortholog_many2many	0
Oog2	PRAMEF5	ortholog_many2many	0
Oog2	PRAMEF7	ortholog_many2many	0
Oog2	PRAMEF26	ortholog_many2many	0
Oog2	PRAMEF17	ortholog_many2many	0
Oog2	PRAMEF20	ortholog_many2many	0
Oog2	PRAMEF6	ortholog_many2many	0
Oog2	PRAMEF12	ortholog_many2many	0
Oog2	PRAMEF4	ortholog_many2many	0
Oog2	PRAMEF1	ortholog_many2many	0
Oog2	PRAMEF14	ortholog_many2many	0
Oog2	PRAMEF10	ortholog_many2many	0
Oog2	PRAMEF15	ortholog_many2many	0
Oog2	PRAMEF18	ortholog_many2many	0
Oog2	PRAMEF25	ortholog_many2many	0
Oog2	PRAMEF13	ortholog_many2many	0
Oog2	PRAMEF11	ortholog_many2many	0
Oog2	PRAMEF27	ortholog_many2many	0
Oog2	PRAMEF33	ortholog_many2many	0
Oog2	PRAMEF8	ortholog_many2many	0
Oog2	PRAMEF19	ortholog_many2many	0
Oog2	PRAMEF9	ortholog_many2many	0
Tceanc2	TCEANC2	ortholog_one2one	1
Zfp369	ZNF274	ortholog_one2many	0
Olfr287	OR10AD1	ortholog_one2many	1
C87977	PRAMEF2	ortholog_many2many	0
C87977	PRAMEF5	ortholog_many2many	0
C87977	PRAMEF7	ortholog_many2many	0
C87977	PRAMEF26	ortholog_many2many	0
C87977	PRAMEF17	ortholog_many2many	0
C87977	PRAMEF20	ortholog_many2many	0
C87977	PRAMEF6	ortholog_many2many	0
C87977	PRAMEF12	ortholog_many2many	0
C87977	PRAMEF4	ortholog_many2many	0
C87977	PRAMEF1	ortholog_many2many	0
C87977	PRAMEF14	ortholog_many2many	0
C87977	PRAMEF10	ortholog_many2many	0
C87977	PRAMEF15	ortholog_many2many	0
C87977	PRAMEF18	ortholog_many2many	0
C87977	PRAMEF25	ortholog_many2many	0
C87977	PRAMEF13	ortholog_many2many	0
C87977	PRAMEF11	ortholog_many2many	0
C87977	PRAMEF27	ortholog_many2many	0
C87977	PRAMEF33	ortholog_many2many	0
C87977	PRAMEF8	ortholog_many2many	0
C87977	PRAMEF19	ortholog_many2many	0
C87977	PRAMEF9	ortholog_many2many	0
Dcst2	DCST2	ortholog_one2one	1
Rgl2	RGL2	ortholog_one2one	1
Ldb2	LDB2	ortholog_one2one	1
Dcst1	DCST1	ortholog_one2one	1
Acaa2	ACAA2	ortholog_one2one	1
Synb	ERVFRD-1	ortholog_one2many	0
Shisa2	SHISA2	ortholog_one2one	1
Nat8f7	NAT8	ortholog_many2many	1
Nat8f7	NAT8B	ortholog_many2many	0
Fgd1	FGD1	ortholog_one2one	1
Phc1	PHC1	ortholog_one2one	1
Olfr918	OR8B2	ortholog_many2many	0
Olfr918	OR8B3	ortholog_many2many	0
Slc25a37	SLC25A37	ortholog_one2one	1
Nat8f3	NAT8	ortholog_many2many	0
Nat8f3	NAT8B	ortholog_many2many	1
Acot1	ACOT2	ortholog_many2many	1
Acot1	ACOT1	ortholog_many2many	0
Sgca	SGCA	ortholog_one2one	1
Kcns1	KCNS1	ortholog_one2one	1
Tiam1	TIAM1	ortholog_one2one	1
Nr5a1	NR5A1	ortholog_one2one	1
Gm49380	RNF26	ortholog_one2many	1
Rnf26	RNF26	ortholog_one2many	1
Lipg	LIPG	ortholog_one2one	1
Wfdc12	WFDC12	ortholog_one2one	0
Zswim6	ZSWIM6	ortholog_one2one	1
Tsr2	TSR2	ortholog_one2one	1
Usp2	USP2	ortholog_one2one	1
Wfdc5	WFDC5	ortholog_one2one	1
Zfp395	ZNF395	ortholog_one2one	1
Fmo4	FMO4	ortholog_one2one	1
Cntn6	CNTN6	ortholog_one2one	1
Calr	CALR	ortholog_one2one	1
Ndufaf2	NDUFAF2	ortholog_one2one	1
Plekhf1	PLEKHF1	ortholog_one2one	1
Cyp1a1	CYP1A1	ortholog_one2one	1
BC031181	C18orf32	ortholog_one2one	1
Svs2	SEMG1	ortholog_many2many	0
Svs2	SEMG2	ortholog_many2many	0
Trip12	TRIP12	ortholog_one2one	1
Smim15	SMIM15	ortholog_one2one	1
Asic4	ASIC4	ortholog_one2one	1
Glrx	GLRX	ortholog_one2one	1
Ntn4	NTN4	ortholog_one2one	1
Sorl1	SORL1	ortholog_one2one	1
Ankrd10	ANKRD10	ortholog_one2one	1
Mdk	MDK	ortholog_one2one	1
Svs3b	SEMG1	ortholog_many2many	0
Svs3b	SEMG2	ortholog_many2many	0
Wipf1	WIPF1	ortholog_one2one	1
Pfdn6	PFDN6	ortholog_one2one	1
Emb	EMB	ortholog_one2one	1
Myh7b	MYH7B	ortholog_one2one	1
Mef2d	MEF2D	ortholog_one2one	1
Svs3a	SEMG1	ortholog_many2many	0
Svs3a	SEMG2	ortholog_many2many	0
Trpc4ap	TRPC4AP	ortholog_one2one	1
Noc4l	NOC4L	ortholog_one2one	1
Rhobtb3	RHOBTB3	ortholog_one2one	1
Ttc13	TTC13	ortholog_one2one	1
Coq5	COQ5	ortholog_one2one	1
Ryr2	RYR2	ortholog_one2one	1
Tmem39a	TMEM39A	ortholog_one2one	1
Pde8b	PDE8B	ortholog_one2many	1
Pde8b	AC022414.1	ortholog_one2many	1
Nat8f5	NAT8	ortholog_many2many	1
Nat8f5	NAT8B	ortholog_many2many	1
Pnoc	PNOC	ortholog_one2one	1
Nat8f6	NAT8	ortholog_many2many	0
Nat8f6	NAT8B	ortholog_many2many	0
Mndal	MNDA	ortholog_one2many	0
Ube3b	UBE3B	ortholog_one2one	1
Lgi3	LGI3	ortholog_one2one	1
Cndp1	CNDP1	ortholog_one2one	1
Pop4	POP4	ortholog_one2one	1
Plekha4	PLEKHA4	ortholog_one2one	1
Fbxo36	FBXO36	ortholog_one2one	1
Cyp2d22	CYP2D7	ortholog_many2many	0
Cyp2d22	CYP2D6	ortholog_many2many	1
Kng1	KNG1	ortholog_one2many	1
Ngf	NGF	ortholog_one2one	1
Nat8	NAT8	ortholog_many2many	1
Nat8	NAT8B	ortholog_many2many	1
Kcng4	KCNG4	ortholog_one2one	1
Pou3f4	POU3F4	ortholog_one2one	1
Nat8f2	NAT8	ortholog_many2many	0
Nat8f2	NAT8B	ortholog_many2many	0
Psma8	PSMA8	ortholog_one2one	1
Tmem115	TMEM115	ortholog_one2one	1
Rpn2	RPN2	ortholog_one2one	1
Acot4	ACOT4	ortholog_one2one	1
Wfdc1	WFDC1	ortholog_one2one	1
Misp	MISP	ortholog_one2one	1
Mfrp	MFRP	ortholog_one2one	1
Cyb561d2	CYB561D2	ortholog_one2one	1
Acot3	ACOT2	ortholog_many2many	1
Acot3	ACOT1	ortholog_many2many	0
Nos1	NOS1	ortholog_one2one	1
Gm49366	ACOT2	ortholog_many2many	0
Gm49366	ACOT1	ortholog_many2many	0
Obsl1	OBSL1	ortholog_one2one	1
Arl5a	ARL5A	ortholog_one2one	1
Nprl2	NPRL2	ortholog_one2one	1
Decr2	DECR2	ortholog_one2one	1
Stat5b	STAT5B	ortholog_one2one	1
Sema3c	SEMA3C	ortholog_one2one	1
Aars2	AARS2	ortholog_one2one	1
Rin3	RIN3	ortholog_one2one	1
Plekhs1	PLEKHS1	ortholog_one2one	1
Trp53i13	TP53I13	ortholog_one2one	1
Diablo	AC048338.2	ortholog_one2many	1
Diablo	DIABLO	ortholog_one2many	1
Klhl1	KLHL1	ortholog_one2one	1
Wdr46	WDR46	ortholog_one2one	1
Zmynd10	ZMYND10	ortholog_one2one	1
Taok1	TAOK1	ortholog_one2one	1
Inpp4b	INPP4B	ortholog_one2one	1
Usp3	USP3	ortholog_one2one	1
Mroh8	MROH8	ortholog_one2one	1
Pramel5	PRAMEF2	ortholog_many2many	0
Pramel5	PRAMEF5	ortholog_many2many	0
Pramel5	PRAMEF7	ortholog_many2many	0
Pramel5	PRAMEF26	ortholog_many2many	0
Pramel5	PRAMEF17	ortholog_many2many	0
Pramel5	PRAMEF20	ortholog_many2many	0
Pramel5	PRAMEF6	ortholog_many2many	0
Pramel5	PRAMEF12	ortholog_many2many	0
Pramel5	PRAMEF4	ortholog_many2many	0
Pramel5	PRAMEF1	ortholog_many2many	0
Pramel5	PRAMEF14	ortholog_many2many	0
Pramel5	PRAMEF10	ortholog_many2many	0
Pramel5	PRAMEF15	ortholog_many2many	0
Pramel5	PRAMEF18	ortholog_many2many	0
Pramel5	PRAMEF25	ortholog_many2many	0
Pramel5	PRAMEF13	ortholog_many2many	0
Pramel5	PRAMEF11	ortholog_many2many	0
Pramel5	PRAMEF27	ortholog_many2many	0
Pramel5	PRAMEF33	ortholog_many2many	0
Pramel5	PRAMEF8	ortholog_many2many	0
Pramel5	PRAMEF19	ortholog_many2many	0
Pramel5	PRAMEF9	ortholog_many2many	0
Abhd15	ABHD15	ortholog_one2one	1
Tmem198	TMEM198	ortholog_one2one	1
Clpsl2	CLPSL2	ortholog_one2one	0
Tusc2	TUSC2	ortholog_one2one	1
Fam83f	FAM83F	ortholog_one2one	1
Zbtb8b	AL033529.1	ortholog_one2many	1
Zbtb8b	ZBTB8B	ortholog_one2many	1
Ifi211	MNDA	ortholog_one2many	0
Nectin3	NECTIN3	ortholog_one2one	1
B3gnt4	B3GNT4	ortholog_one2one	1
Slc38a7	SLC38A7	ortholog_one2one	1
Chpf	CHPF	ortholog_one2one	1
Scaper	SCAPER	ortholog_one2one	1
Tmem249	TMEM249	ortholog_one2one	0
Rassf1	RASSF1	ortholog_one2one	1
C1qtnf5	C1QTNF5	ortholog_one2one	1
Chrm4	CHRM4	ortholog_one2one	1
Crabp1	CRABP1	ortholog_one2one	1
Pgpep1l	PGPEP1L	ortholog_one2one	0
Nrros	NRROS	ortholog_one2one	1
Ankrd31	ANKRD31	ortholog_one2one	1
Tmtc1	TMTC1	ortholog_one2one	1
Myo1f	MYO1F	ortholog_one2one	1
Farsa	FARSA	ortholog_one2one	1
Myh13	MYH13	ortholog_one2one	1
Fam169b	FAM169B	ortholog_one2one	0
Kif7	KIF7	ortholog_one2one	1
Bmp7	BMP7	ortholog_one2one	1
Hyal2	HYAL2	ortholog_one2one	1
Tpst2	TPST2	ortholog_one2one	1
Ift22	IFT22	ortholog_one2one	1
Ttc39a	TTC39A	ortholog_one2one	1
Vps8	VPS8	ortholog_one2one	1
Meis2	MEIS2	ortholog_one2one	1
Dach1	DACH1	ortholog_one2one	1
Ripply3	RIPPLY3	ortholog_one2one	1
B3galt4	B3GALT4	ortholog_one2one	1
Slc9a8	SLC9A8	ortholog_one2one	1
Nat8f4	NAT8	ortholog_many2many	1
Nat8f4	NAT8B	ortholog_many2many	1
Tmem151b	TMEM151B	ortholog_one2one	1
Trem1	TREM1	ortholog_one2one	0
Tcte1	TCTE1	ortholog_one2one	1
Hyal3	HYAL3	ortholog_one2one	1
Cylc1	CYLC1	ortholog_one2one	0
Ticrr	TICRR	ortholog_one2one	1
Ddx51	DDX51	ortholog_one2one	1
Gm13128	PRAMEF2	ortholog_many2many	0
Gm13128	PRAMEF5	ortholog_many2many	0
Gm13128	PRAMEF7	ortholog_many2many	0
Gm13128	PRAMEF26	ortholog_many2many	0
Gm13128	PRAMEF17	ortholog_many2many	0
Gm13128	PRAMEF20	ortholog_many2many	0
Gm13128	PRAMEF6	ortholog_many2many	0
Gm13128	PRAMEF12	ortholog_many2many	0
Gm13128	PRAMEF4	ortholog_many2many	0
Gm13128	PRAMEF1	ortholog_many2many	0
Gm13128	PRAMEF14	ortholog_many2many	0
Gm13128	PRAMEF10	ortholog_many2many	0
Gm13128	PRAMEF15	ortholog_many2many	0
Gm13128	PRAMEF18	ortholog_many2many	0
Gm13128	PRAMEF25	ortholog_many2many	0
Gm13128	PRAMEF13	ortholog_many2many	0
Gm13128	PRAMEF11	ortholog_many2many	0
Gm13128	PRAMEF27	ortholog_many2many	0
Gm13128	PRAMEF33	ortholog_many2many	0
Gm13128	PRAMEF8	ortholog_many2many	0
Gm13128	PRAMEF19	ortholog_many2many	0
Gm13128	PRAMEF9	ortholog_many2many	0
Sidt2	SIDT2	ortholog_one2one	1
Hyal1	HYAL1	ortholog_one2one	1
Gm29797	C20orf204	ortholog_one2one	1
Cdh22	CDH22	ortholog_one2one	1
Sox18	SOX18	ortholog_one2one	1
Rsrc2	RSRC2	ortholog_one2one	1
Gm13119	PRAMEF2	ortholog_many2many	0
Gm13119	PRAMEF5	ortholog_many2many	0
Gm13119	PRAMEF7	ortholog_many2many	0
Gm13119	PRAMEF26	ortholog_many2many	0
Gm13119	PRAMEF17	ortholog_many2many	0
Gm13119	PRAMEF20	ortholog_many2many	0
Gm13119	PRAMEF6	ortholog_many2many	0
Gm13119	PRAMEF12	ortholog_many2many	0
Gm13119	PRAMEF4	ortholog_many2many	0
Gm13119	PRAMEF1	ortholog_many2many	0
Gm13119	PRAMEF14	ortholog_many2many	0
Gm13119	PRAMEF10	ortholog_many2many	0
Gm13119	PRAMEF15	ortholog_many2many	0
Gm13119	PRAMEF18	ortholog_many2many	0
Gm13119	PRAMEF25	ortholog_many2many	0
Gm13119	PRAMEF13	ortholog_many2many	0
Gm13119	PRAMEF11	ortholog_many2many	0
Gm13119	PRAMEF27	ortholog_many2many	0
Gm13119	PRAMEF33	ortholog_many2many	0
Gm13119	PRAMEF8	ortholog_many2many	0
Gm13119	PRAMEF19	ortholog_many2many	0
Gm13119	PRAMEF9	ortholog_many2many	0
Pramef20	PRAMEF2	ortholog_many2many	0
Pramef20	PRAMEF5	ortholog_many2many	0
Pramef20	PRAMEF7	ortholog_many2many	0
Pramef20	PRAMEF26	ortholog_many2many	0
Pramef20	PRAMEF17	ortholog_many2many	0
Pramef20	PRAMEF20	ortholog_many2many	0
Pramef20	PRAMEF6	ortholog_many2many	0
Pramef20	PRAMEF12	ortholog_many2many	0
Pramef20	PRAMEF4	ortholog_many2many	0
Pramef20	PRAMEF1	ortholog_many2many	0
Pramef20	PRAMEF14	ortholog_many2many	0
Pramef20	PRAMEF10	ortholog_many2many	0
Pramef20	PRAMEF15	ortholog_many2many	0
Pramef20	PRAMEF18	ortholog_many2many	0
Pramef20	PRAMEF25	ortholog_many2many	0
Pramef20	PRAMEF13	ortholog_many2many	0
Pramef20	PRAMEF11	ortholog_many2many	0
Pramef20	PRAMEF27	ortholog_many2many	0
Pramef20	PRAMEF33	ortholog_many2many	0
Pramef20	PRAMEF8	ortholog_many2many	0
Pramef20	PRAMEF19	ortholog_many2many	0
Pramef20	PRAMEF9	ortholog_many2many	0
Srrd	SRRD	ortholog_one2one	0
Nr6a1	NR6A1	ortholog_one2one	1
Ireb2	IREB2	ortholog_one2one	1
Naa80	NAA80	ortholog_one2one	1
Elp3	ELP3	ortholog_one2one	1
Sod1	SOD1	ortholog_one2one	1
Kmt2d	KMT2D	ortholog_one2one	1
Adam22	ADAM22	ortholog_one2one	1
Dnah1	DNAH1	ortholog_one2one	1
Scaf4	SCAF4	ortholog_one2one	1
4930523C07Rik	KIAA0040	ortholog_one2one	1
Srsf9	SRSF9	ortholog_one2one	1
Tfip11	TFIP11	ortholog_one2one	1
Adamts6	ADAMTS6	ortholog_one2one	1
Gcnt4	GCNT4	ortholog_one2one	1
Clasp1	CLASP1	ortholog_one2one	1
Lsmem2	LSMEM2	ortholog_one2one	1
Ifrd2	IFRD2	ortholog_one2one	1
Arv1	ARV1	ortholog_one2one	1
Reep4	REEP4	ortholog_one2one	1
Nxpe4	NXPE4	ortholog_one2one	1
Fam89a	FAM89A	ortholog_one2one	1
Rab34	RAB34	ortholog_one2one	1
Nxpe2	NXPE2	ortholog_one2one	1
Tcf12	TCF12	ortholog_one2one	1
Nkd2	NKD2	ortholog_one2one	1
Gatc	GATC	ortholog_one2one	1
Usp44	USP44	ortholog_one2one	1
Hcn1	HCN1	ortholog_one2one	1
Coq7	COQ7	ortholog_one2one	0
Triap1	TRIAP1	ortholog_one2one	1
Ppp1r9b	PPP1R9B	ortholog_one2one	1
Atp2c2	ATP2C2	ortholog_one2one	1
Cox6a1	COX6A1	ortholog_one2one	1
Tprkb	TPRKB	ortholog_one2one	1
Nfkbie	NFKBIE	ortholog_one2one	1
Sema3b	SEMA3B	ortholog_one2one	1
Hira	HIRA	ortholog_one2one	1
Mrps30	MRPS30	ortholog_one2one	1
Aldh2	AC002996.1	ortholog_one2many	0
Aldh2	ALDH2	ortholog_one2many	1
Pou6f1	POU6F1	ortholog_one2one	1
Bex6	BEX4	ortholog_one2many	0
Slc35b2	SLC35B2	ortholog_one2one	1
Zfp414	ZNF414	ortholog_one2one	1
Gcdh	GCDH	ortholog_one2one	1
Ercc3	ERCC3	ortholog_one2one	1
Nfe2	NFE2	ortholog_one2one	1
Man2b1	AC010422.3	ortholog_one2many	0
Man2b1	MAN2B1	ortholog_one2many	1
Man2b1	AC010422.5	ortholog_one2many	0
Padi6	PADI6	ortholog_one2one	1
Fbxo45	FBXO45	ortholog_one2one	1
Fxyd6	FXYD6	ortholog_one2one	1
Ttc17	TTC17	ortholog_one2one	1
Spo11	SPO11	ortholog_one2one	1
Fis1	FIS1	ortholog_one2one	1
Syce2	SYCE2	ortholog_one2one	1
Pram1	PRAM1	ortholog_one2one	1
Fam114a1	FAM114A1	ortholog_one2one	1
Dppa4	DPPA4	ortholog_one2one	0
2510002D24Rik	C22orf39	ortholog_one2many	1
