Gene name	Chicken gene name	Chicken homology type	Chicken orthology confidence [0 low, 1 high]
Cog4	COG4	ortholog_one2one	1
Xylt1	XYLT1	ortholog_one2one	1
Tmed2	TMED2	ortholog_one2one	1
Rac1	RAC1	ortholog_one2one	1
Fbln7	FBLN7	ortholog_one2one	1
Mapk8ip3	MAPK8IP3	ortholog_one2one	1
Ppm1m	PPM1M	ortholog_one2one	1
AL731706.2		ortholog_one2one	1
Hook2	HOOK2	ortholog_one2one	1
Gm45808	DHDH	ortholog_one2many	0
Slx4ip	SLX4IP	ortholog_one2one	1
Sft2d3	SFT2D3	ortholog_one2one	1
Zfp143	ZNF143	ortholog_one2one	1
Trmt1l	TRMT1L	ortholog_one2one	1
Dhdh	DHDH	ortholog_one2many	0
Wdr66		ortholog_one2one	0
As3mt	AS3MT	ortholog_one2one	1
Mical1	MICAL1	ortholog_one2one	1
Acat2	ACAT2	ortholog_one2many	1
Cdo1	CDO1	ortholog_one2one	1
Irf4	IRF4	ortholog_one2one	1
Cd200	CD200	ortholog_one2one	1
Uqcc2	C26H6ORF125	ortholog_one2one	1
Daglb	DAGLB	ortholog_one2one	1
Hal	HAL	ortholog_one2one	1
Samd1	SAMD13	ortholog_one2one	0
Glyatl3		ortholog_one2many	0
Glyatl3		ortholog_one2many	0
Ap1s3	AP1S3	ortholog_one2one	1
Cenpq	CENPQ	ortholog_one2one	1
Kcna10	KCNA10	ortholog_one2one	1
Ip6k3	IP6K3	ortholog_one2one	1
Ipmk	IPMK	ortholog_one2one	1
Ube2e3	UBE2E3	ortholog_one2one	1
Twf2	TWF2	ortholog_one2one	1
Ttpal	TTPAL	ortholog_one2one	1
Igsf3	IGSF3	ortholog_one2one	1
Lonp1	LONP1	ortholog_one2one	1
Mmut	MMUT	ortholog_one2one	1
Ckap4	CKAP4	ortholog_one2one	1
Nup93	NUP93	ortholog_one2one	1
Sco2	SCO2	ortholog_one2one	1
Bcl7a	BCL7A	ortholog_one2one	1
Edc4	EDC4	ortholog_one2one	1
Ncaph2	NCAPH2	ortholog_one2one	1
Cym	PGA3	ortholog_one2one	1
Mtg1	MTG1	ortholog_one2one	1
Gale	GALE	ortholog_one2one	1
Rbks	RBKS	ortholog_one2one	1
Mocs2	MOCS2	ortholog_one2one	1
Serinc3	SERINC3	ortholog_one2one	1
Rell1	RELL1	ortholog_one2one	1
Mthfsl	MTHFS	ortholog_one2many	1
Ssbp3	SSBP3	ortholog_one2one	1
Prok1	PROK1	ortholog_one2one	1
Polrmt	POLRMT	ortholog_one2one	1
Slc38a8	SLC38A8	ortholog_one2one	1
Ergic2	ERGIC2	ortholog_one2one	1
Bcl2a1d	BCL2A1	ortholog_one2many	1
Rnf13	RNF13	ortholog_one2one	1
Ssh2	SSH2	ortholog_one2one	1
Dpy19l2		ortholog_one2many	1
Sf3b3	SF3B3	ortholog_one2one	1
Ints10	INTS10	ortholog_one2one	1
Nbr1	NBR1	ortholog_one2one	1
Grm5	GRM5	ortholog_one2one	1
Ppm1b	PPM1B	ortholog_one2one	1
Upf1	UPF1	ortholog_one2one	1
Ostc	OSTC	ortholog_one2one	1
Tmem167	TMEM167A	ortholog_one2one	1
Mcrip2	MCRIP2	ortholog_one2one	1
Cep97		ortholog_one2many	0
Cep97		ortholog_one2many	1
Fancc	FANCC	ortholog_one2one	1
Xrcc4	XRCC4	ortholog_one2one	1
Ipo7	IPO7	ortholog_one2one	1
Prpf6	PRPF6	ortholog_one2one	1
Klhl3	KLHL3	ortholog_one2one	1
Alas1	ALAS1	ortholog_one2one	1
Hadha	HADHA	ortholog_one2one	1
Magoh	MAGOH	ortholog_one2one	1
Elovl6	ELOVL6	ortholog_one2one	1
Gli3	GLI2	ortholog_one2many	0
Gli3	GLI3	ortholog_one2many	1
Dscam	DSCAM	ortholog_one2one	1
Yars	YARS	ortholog_one2one	1
Sall1	SALL1	ortholog_one2one	1
Gata2	GATA2	ortholog_one2one	1
Popdc2	POPDC2	ortholog_one2one	1
Gtf2h5	GTF2H5	ortholog_one2one	1
Gins3	GINS3	ortholog_one2one	1
Adam7		ortholog_many2many	0
Car10	CA10	ortholog_one2one	1
Wee1	WEE1	ortholog_one2one	1
Hnrnpa0	HNRNPA0	ortholog_one2one	1
Itm2b	ITM2B	ortholog_one2one	1
Ppef2	PPEF2	ortholog_one2one	1
Bhmt2		ortholog_one2many	1
Srrm1	SRRM1	ortholog_one2one	1
Tgm2	TGM2	ortholog_one2one	1
Ift81	IFT81	ortholog_one2one	1
Samd10	SAMD10	ortholog_one2one	1
Nrn1l	NRN1L	ortholog_one2one	1
Clip1	CLIP1	ortholog_one2one	1
Hist1h2aa	H2A-VI	ortholog_one2many	0
Hist1h2aa	H2A-VI	ortholog_one2many	0
Hist1h2aa	H2A-VI	ortholog_one2many	0
Hist1h2aa	H2A-VI	ortholog_one2many	1
Hist1h2aa	H2A-VI	ortholog_one2many	0
Hist1h2aa	H2A-VI	ortholog_one2many	0
Hist1h2aa	H2A-VI	ortholog_one2many	0
C77080	KIAA1522	ortholog_one2one	1
Garem2	GAREM2	ortholog_one2one	1
Med4	MED4	ortholog_one2one	1
Stk38	STK38	ortholog_one2one	1
Ctsl	CTSV	ortholog_one2many	1
Poc1a		ortholog_one2many	0
Poc1a		ortholog_one2many	1
Myo5a	MYO5A	ortholog_one2one	1
Wtap	WTAP	ortholog_one2one	1
Col4a3bp	CERT1	ortholog_one2one	1
Gabarapl1	GABARAPL1	ortholog_one2one	1
Uckl1	UCKL1	ortholog_one2one	1
Prrxl1	DRGX	ortholog_one2one	1
Smpd2	SMPD2	ortholog_one2one	1
Pebp1	PEBP1	ortholog_one2one	1
Lemd2	LEMD2	ortholog_one2one	1
Nek1	NEK1	ortholog_one2one	1
Lamtor5	LAMTOR5	ortholog_one2one	1
Atg12	ATG12	ortholog_one2one	1
Prom1	PROM1	ortholog_one2one	1
AA986860		ortholog_one2one	0
Atp1a1	ATP1A1	ortholog_one2one	1
Sept12	SEPTIN12	ortholog_one2one	1
Tcp11l2	TCP11X2	ortholog_one2one	1
Hoxc13	HOXC13	ortholog_one2one	1
Sucla2	SUCLA2	ortholog_one2one	1
Prepl	PREPL	ortholog_one2one	1
Gamt		ortholog_one2one	0
Hoxc12	HOXC12	ortholog_one2one	1
Hrg		ortholog_one2one	0
Ccdc65	CCDC65	ortholog_one2one	1
Ntrk1	NTRK1	ortholog_one2one	1
Pcnx	PCNX1	ortholog_one2one	1
Far2	FAR2	ortholog_one2one	1
Rprd1b	RPRD1B	ortholog_one2one	1
Rpl34	RPL34	ortholog_one2one	1
Csnk1g1	CSNK1G1	ortholog_one2one	1
Cryaa	CRYAA	ortholog_one2one	1
Hoxc11	HOXC11	ortholog_one2one	1
Hsd17b7	HSD17B7	ortholog_one2one	1
Lrrc71	LRRC71	ortholog_one2one	1
Tox3	TOX3	ortholog_one2one	1
Trhr	TRHR	ortholog_one2one	1
Nudt15	NUDT15	ortholog_one2one	1
Pop5	POP5	ortholog_one2one	1
Syap1	SYAP1	ortholog_one2one	1
Fcamr		ortholog_one2one	0
Vsig10	VSIG10	ortholog_one2one	1
Tnks	TNKS	ortholog_one2one	1
Dusp7	DUSP7	ortholog_one2one	1
Ptprj	PTPRJ	ortholog_one2one	0
Anapc16	ANAPC16	ortholog_one2one	1
Ung	UNG	ortholog_one2one	1
Tro	NSMCE3	ortholog_one2many	0
Atxn3	ATXN3L	ortholog_one2one	1
Insrr	INSRR	ortholog_one2one	1
Rnf10	RNF10	ortholog_one2one	1
Rpl29	RPL29	ortholog_one2many	1
Sphkap	SPHKAP	ortholog_one2one	1
Slc16a4	SLC16A4	ortholog_one2one	1
Sik2	SIK2	ortholog_one2one	1
Slc3a1	SLC3A1	ortholog_one2one	1
Grp	GRP	ortholog_one2one	1
Ascc1	ASCC1	ortholog_one2one	1
Acy1		ortholog_one2one	1
Adcy8	ADCY8	ortholog_one2one	1
Ap3s1	AP3S1	ortholog_one2one	1
Zfp512b	ZNF512B	ortholog_one2one	1
Cdc34b	CDC34	ortholog_one2many	1
Arhgef11	ARHGEF11	ortholog_one2one	1
T	TBXT	ortholog_one2one	1
Msh5		ortholog_one2one	1
Efna3		ortholog_one2one	1
Polr2l	POLR2L	ortholog_one2one	1
Fkbp11	FKBP11	ortholog_one2one	1
Wdhd1	WDHD1	ortholog_one2one	1
Thap7	THAP7	ortholog_one2one	1
Scn2b	SCN2B	ortholog_one2one	1
Ppp1r3c	PPP1R3C	ortholog_one2one	1
Tshz2	TSHZ2	ortholog_one2one	1
Lrrc28	LRRC28	ortholog_one2one	1
Rttn	RTTN	ortholog_one2one	1
Fignl2	FIGNL2	ortholog_one2one	1
Cbr1	CBR3	ortholog_one2many	1
Btbd17	BTBD17	ortholog_one2one	1
Dynlrb1	DYNLRB1	ortholog_one2one	1
Ndrg4	NDRG4	ortholog_one2one	1
Ranbp3	RANBP3	ortholog_one2one	1
Enox1	ENOX1	ortholog_one2one	1
Pfn2	PFN2	ortholog_one2one	1
Tubb1	TUBB1	ortholog_one2one	1
Cst3	CST3	ortholog_one2many	1
Adam15		ortholog_one2one	0
Sigirr	SIGIRR	ortholog_one2one	1
Idh3a	IDH3A	ortholog_one2one	1
Rbm33	RBM33	ortholog_one2one	1
Ift122	IFT122	ortholog_one2one	1
Gria1	GRIA1	ortholog_one2one	1
Fyttd1	FYTTD1	ortholog_one2one	1
Mllt6	MLLT6	ortholog_one2one	1
Cdk20	CDK20	ortholog_one2one	1
Hoxc8	HOXC8	ortholog_one2one	1
Polr3b	POLR3B	ortholog_one2one	1
Hoxc6	HOXC6	ortholog_one2one	1
Gm5678	CBR3	ortholog_one2many	1
Pear1		ortholog_one2many	0
Pear1		ortholog_one2many	0
Tbx20	TBX20	ortholog_one2one	1
Ada	ADA	ortholog_one2one	1
Ndufa11		ortholog_one2one	1
Abhd14b	ABHD14B	ortholog_one2one	1
Hoxc10	HOXC10	ortholog_one2one	1
Tmem204	TMEM204	ortholog_one2one	1
Scnm1	SCNM1	ortholog_one2one	1
Hoxc9	HOXC9	ortholog_one2one	1
Letmd1	LETMD1	ortholog_one2one	1
Nrtn	NRTN	ortholog_one2one	1
Gpr17		ortholog_one2one	0
Zc3h6	ZC3H8	ortholog_one2one	1
Ift140	IFT140	ortholog_one2one	1
Lims2	LIMS2	ortholog_one2one	1
Hoxc5		ortholog_one2one	1
Cyth3	CYTH3	ortholog_one2one	1
Trappc13	TRAPPC13	ortholog_one2one	1
Dmgdh	DMGDH	ortholog_one2one	1
Mpi	MPI	ortholog_one2one	1
Map1lc3a	MAP1LC3A	ortholog_one2one	1
Adamdec1		ortholog_many2many	0
Wnt5a	WNT5A	ortholog_one2one	1
Ddr2	DDR2	ortholog_one2one	1
Rbm15	RBM15	ortholog_one2one	1
Chrm3	CHRM3	ortholog_one2one	1
Ggnbp2	GGNBP2	ortholog_one2one	1
Fus	FUS	ortholog_one2one	1
Coro6	CORO6	ortholog_one2one	1
Phf7		ortholog_one2many	0
Phf7		ortholog_one2many	0
Phf7		ortholog_one2many	0
Phf7		ortholog_one2many	0
Wfikkn1	WFIKKN1	ortholog_one2one	1
Clec2h	BLEC3	ortholog_many2many	0
Clec2h	BLEC1	ortholog_many2many	0
Abhd14a	ABHD14A	ortholog_one2one	1
Ddx55	DDX55	ortholog_one2one	1
Olfr524		ortholog_one2one	1
Rhpn1	RHPN1	ortholog_one2one	1
Ccn5		ortholog_one2one	0
Ptchd4	PTCHD4	ortholog_one2one	1
Pla2g4e		ortholog_many2many	0
Pla2g4e		ortholog_many2many	1
Pla2g4e		ortholog_many2many	0
Pla2g4e		ortholog_many2many	1
Pla2g4e		ortholog_many2many	0
Pla2g4e		ortholog_many2many	0
Olfr651		ortholog_one2many	0
Arsb	ARSB	ortholog_one2one	1
Rubcn	RUBCN	ortholog_one2one	1
3425401B19Rik	C10orf71	ortholog_one2one	1
Zbtb11	ZBTB11	ortholog_one2one	1
Opcml	OPCML	ortholog_one2one	1
C2cd2l	C2CD2L	ortholog_one2one	1
Polr2j	POLR2J	ortholog_one2one	1
Cbr3		ortholog_many2many	0
Cbr3	DHRS4	ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Cbr3		ortholog_many2many	0
Dnm1l	DNM1L	ortholog_one2one	1
Hnf1b	HNF1B	ortholog_one2one	1
Rab11fip5		ortholog_one2one	1
Ddx27	DDX27	ortholog_one2one	1
Rpl24	RPL24	ortholog_one2one	1
Psmb1	PSMB1	ortholog_one2one	1
Tpcn1	TPCN1	ortholog_one2one	1
Lrwd1	LRWD1	ortholog_one2one	1
Mrps10	MRPS10	ortholog_one2one	1
Otud4	OTUD4	ortholog_one2one	1
Pcnp	PCNP	ortholog_one2one	1
Sun2	SUN2	ortholog_one2one	1
Crabp2	CRABP2	ortholog_one2one	1
Pex14	PEX14	ortholog_one2one	1
Csnk2a1	CSNK2A1	ortholog_one2one	1
Tent5d	TENT5D	ortholog_one2one	1
2610002M06Rik	CHMP1B	ortholog_one2one	1
Rps15a	RPS15A	ortholog_one2one	1
Itga2	ITGA2	ortholog_one2one	1
Pcbp4	PCBP4	ortholog_one2one	1
Aopep	AOPEP	ortholog_one2one	1
Olfr652		ortholog_one2many	0
Pard3b	PARD3B	ortholog_one2one	1
Stx2	STX2	ortholog_one2one	1
Srsf3	SRSF3	ortholog_one2one	1
Ttc28	TTC28	ortholog_one2one	1
Inhba	INHBA	ortholog_one2one	1
Carmil3	CARMIL3	ortholog_one2one	0
Pigu	PIGU	ortholog_one2one	1
Bace2	BACE2	ortholog_one2one	1
Cnnm2	CNNM2	ortholog_one2one	1
Opn5	OPN5	ortholog_one2one	1
Klre1		ortholog_many2many	0
Klre1	CLC2DL3	ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1	Y-LEC1	ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Klre1		ortholog_many2many	0
Gm2035	EIF1AX	ortholog_one2many	1
Guca1b	GUCA1B	ortholog_one2one	1
C1qtnf12	C1QTNF12	ortholog_one2one	1
Kcnk15	KCNK15	ortholog_one2one	1
Polr3d		ortholog_one2one	0
Tead3	TEAD3	ortholog_one2one	1
Lrrc40	LRRC40	ortholog_one2one	1
Dus3l	DUS3L	ortholog_one2one	1
Pou2f3	POU2F3	ortholog_one2one	1
Cops9	COPS9	ortholog_one2one	1
Fam20c	FAM20C	ortholog_one2one	1
Lvrn	LVRN	ortholog_one2one	1
Adcy5	ADCY6	ortholog_one2one	1
Kbtbd11	KBTBD11	ortholog_one2one	1
Ctsc	CTSC	ortholog_one2one	1
Lypla2	LYPLA2	ortholog_one2one	1
Ddx25	DDX25	ortholog_one2one	1
Dph2	DPH2	ortholog_one2one	1
Csrnp2	CSRNP2	ortholog_one2one	1
Rfx2	RFX2	ortholog_one2one	1
Gm732	WASF1	ortholog_one2many	0
Psen2	PSEN2	ortholog_one2one	1
Phyhip	PHYHIP	ortholog_one2one	1
Kcnc4	KCNC4	ortholog_one2one	1
Pigq	PIGQ	ortholog_one2one	1
Adgrf2	ADGRF2	ortholog_one2one	1
Cd2ap	CD2AP	ortholog_one2one	1
Gtf2h2		ortholog_one2one	1
Eefsec	EEFSEC	ortholog_one2one	1
Adam2		ortholog_many2many	0
Fhit	FHIT	ortholog_one2one	1
Tbl1x	TBL1X	ortholog_one2one	1
Cd7	CD7	ortholog_one2one	0
Slc12a5	SLC12A5	ortholog_one2one	1
Rcbtb1	RCBTB1	ortholog_one2one	1
Itga4	ITGA4	ortholog_one2one	1
AI661453	C6orf132	ortholog_one2one	1
Shld3	SHLD3	ortholog_one2one	1
Ep300	EP300	ortholog_one2one	1
Shh	SHH	ortholog_one2one	1
Ndufa7		ortholog_one2one	1
Guca1a	GUCA1A	ortholog_one2one	1
Lef1	LEF1	ortholog_one2one	1
Mlxip	MLXIP	ortholog_one2one	1
Pcdh9	PCDH9	ortholog_one2one	1
Best2		ortholog_one2one	0
Iqcd	IQCD	ortholog_one2one	1
Myo9b	MYO9B	ortholog_one2one	1
Gm5294		ortholog_one2one	1
Otos	OTOS	ortholog_one2one	1
Taf8	TAF8	ortholog_one2one	1
Tsc22d2	TSC22D2	ortholog_one2one	1
Rfc5	RFC5	ortholog_one2one	1
Tulp4	TULP4	ortholog_one2one	1
Tnfrsf21	TNFRSF21	ortholog_one2one	1
Txnrd1	TXNRD1	ortholog_one2one	1
Gpc1	GPC1	ortholog_one2one	1
Tnks2	TNKS2	ortholog_one2one	1
Pid1	PID1	ortholog_one2one	1
Arf3		ortholog_one2one	1
Ppib	PPIB	ortholog_one2one	1
Ankmy1		ortholog_one2one	0
Snx22	SNX22	ortholog_one2one	1
Ran	RAN	ortholog_one2many	1
Wsb2	WSB2	ortholog_one2one	1
Amdhd1	AMDHD1	ortholog_one2one	1
Dnajc15	DNAJC15	ortholog_one2one	1
Tmem19	TMEM19	ortholog_one2one	1
Alkbh4	ALKBH4	ortholog_one2one	1
Pcmtd2	PCMTD2	ortholog_one2one	1
Pcgf2	PCGF2	ortholog_one2one	1
Cd226	CD226	ortholog_one2one	0
Zfp217		ortholog_one2many	0
Zfp217		ortholog_one2many	1
Pgm2	PGM2	ortholog_one2one	1
Pdgfa	PDGFA	ortholog_one2one	1
Cerkl		ortholog_one2many	1
Cerkl		ortholog_one2many	1
Mbtps1	MBTPS1	ortholog_one2one	1
Espl1	ESPL1	ortholog_one2one	1
Ina	INA	ortholog_one2one	1
Mafa	MAFA	ortholog_one2one	1
Idnk	IDNK	ortholog_one2one	1
Atp13a4		ortholog_one2many	0
Atp13a4	ATP13A4	ortholog_one2many	1
Ipo13	IPO13	ortholog_one2one	1
Acsbg2	ACSBG2	ortholog_one2one	1
Abce1	ABCE1	ortholog_one2one	1
Klrd1		ortholog_many2many	0
Klrd1	CLC2DL3	ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1	Y-LEC1	ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Klrd1		ortholog_many2many	0
Mab21l3	MAB21L3	ortholog_one2one	1
Zfp536	ZNF536	ortholog_one2one	1
Prrc2c	PRRC2C	ortholog_one2one	1
Rrp9	RRP9	ortholog_one2one	1
Epsti1		ortholog_one2many	0
Epsti1		ortholog_one2many	0
Orai2	ORAI3	ortholog_one2one	1
Gbf1	GBF1	ortholog_one2one	1
Arl6ip1	ARL6IP1	ortholog_one2one	1
Nudcd1	NUDCD1	ortholog_one2one	1
Uap1	UAP1	ortholog_one2one	1
Pla1a	PLA1A	ortholog_one2one	1
Fgf22	FGF22	ortholog_one2one	1
Umodl1		ortholog_one2many	0
Umodl1		ortholog_one2many	0
Adgrf5	ADGRF5	ortholog_one2one	1
Rnf126	RNF126	ortholog_one2one	1
Neurod1	NEUROD1	ortholog_one2one	1
Tm9sf2	TM9SF2	ortholog_one2one	1
Usp42		ortholog_one2one	0
Parp3	PARP3	ortholog_one2one	1
Rab5c	RAB5C	ortholog_one2one	1
Trp53inp2	TP53INP2	ortholog_one2one	1
Nxf2		ortholog_one2many	1
Oaf	OAF	ortholog_one2one	1
Acsbg1	ACSBG1	ortholog_one2one	1
Neo1	NEO1	ortholog_one2one	1
Eny2	ENY2	ortholog_one2one	1
Slc22a15	SLC22A15	ortholog_one2one	1
Map3k7cl		ortholog_one2one	1
Nhlrc4	NHLRC4	ortholog_one2one	1
Bcan	BCAN	ortholog_one2one	1
Telo2	TELO2	ortholog_one2one	1
Lhfpl2	LHFPL2	ortholog_one2one	1
Snx1	SNX1	ortholog_one2one	1
Rab40c	RAB40C	ortholog_one2one	1
Ddx6	DDX6	ortholog_one2one	1
Hsdl1	HSDL1	ortholog_one2one	1
Eid3		ortholog_one2many	0
Naaa	NAAA	ortholog_one2one	1
Rab38	RAB38	ortholog_one2one	1
Dop1b	DOP1B	ortholog_one2one	1
Fam129a	FAM129A	ortholog_one2one	1
Myo7b	MYO7B	ortholog_one2one	1
Naga	NAGA	ortholog_one2one	1
Meltf	MELTF	ortholog_one2one	1
Smyd5	SMYD5	ortholog_one2one	1
Mllt1	MLLT1	ortholog_one2one	1
Cpsf2	CPSF2	ortholog_one2one	1
Artn	ARTN	ortholog_one2one	1
Adamts10	ADAMTS10	ortholog_one2one	1
Sik1	SIK1	ortholog_one2one	1
Serp1	SERP1	ortholog_one2one	1
Anapc10	ANAPC10	ortholog_one2one	1
Rbbp4	RBBP4	ortholog_one2one	1
Eif2a	EIF2A	ortholog_one2one	1
Ndufb1-ps	NDUFB1	ortholog_one2one	1
Prkrip1	PRKRIP1	ortholog_one2one	1
Psmb3	PSMB3	ortholog_one2one	1
Cldn5	CLDN5	ortholog_one2one	1
Adprh	ADPRH	ortholog_one2one	1
Cdkn1a		ortholog_one2one	0
Acer1	ACER1	ortholog_one2one	1
Prss30		ortholog_many2many	0
Gpr155	GPR155	ortholog_one2one	1
B3galt1	B3GALT1	ortholog_one2one	1
Sync	SYNC	ortholog_one2one	1
Haus8	HAUS8	ortholog_one2one	1
Myo5c	MYO5C	ortholog_one2one	1
Vstm4	VSTM4	ortholog_one2one	1
Bach1	BACH1	ortholog_one2one	1
Mrpl4	MRPL4	ortholog_one2one	1
Rbm26	RBM26	ortholog_one2one	1
Actn1	ACTN1	ortholog_one2one	1
Lmo4	LMO4	ortholog_one2one	1
Rims4	RIMS4	ortholog_one2one	1
Fam240b		ortholog_one2many	1
Slc6a17	SLC6A17	ortholog_one2one	1
Itpkb	ITPKB	ortholog_one2one	1
Mep1a	MEP1A	ortholog_one2one	1
Dffa	DFFA	ortholog_one2one	1
Zfp770	ZNF770	ortholog_one2one	1
Hhip	HHIP	ortholog_one2one	1
Acacb		ortholog_one2many	0
Acacb		ortholog_one2many	0
Acacb		ortholog_one2many	1
Znhit3	ZNHIT3	ortholog_one2one	1
Fcer1a		ortholog_one2many	0
Gsdmc	GSDMA	ortholog_one2many	0
Socs4	SOCS4	ortholog_one2one	1
Spock2	SPOCK2	ortholog_one2one	1
Trmt10c	TRMT10C	ortholog_one2one	1
Ddx52	DDX52	ortholog_one2one	1
Bcas1	BCAS1	ortholog_one2one	1
Mptx2	CRP	ortholog_many2many	1
Mptx2		ortholog_many2many	0
Sdf4	SDF4	ortholog_one2one	1
Fam3b	FAM3B	ortholog_one2one	1
Ajap1	AJAP1	ortholog_one2one	1
Myo19	MYO19	ortholog_one2one	1
Adgrd1	ADGRD1	ortholog_one2one	1
Ciao2a	FAM96A	ortholog_one2one	1
Btbd9	BTBD9	ortholog_one2one	1
Grm2	GRM2	ortholog_one2one	1
Ankrd66	ANKRD66	ortholog_one2one	1
Lhx2	LHX2	ortholog_one2one	1
Fam114a2	FAM114A2	ortholog_one2one	1
Grm4	GRM4	ortholog_one2one	1
Arl14epl	ARL14EPL	ortholog_one2one	1
Mpp5	MPP5	ortholog_one2one	1
Rbfox3	RBFOX3	ortholog_one2one	1
Ankrd13b	ANKRD13B	ortholog_one2one	1
Asna1	GET3	ortholog_one2one	1
Tex264	TEX264	ortholog_one2one	1
Rogdi	ROGDI	ortholog_one2one	1
Lrrc7	LRRC7	ortholog_one2one	1
Hapln2	HAPLN2	ortholog_one2one	1
Cadm3	CADM3	ortholog_one2one	1
Pcbp2	PCBP2	ortholog_one2one	1
Egf	EGF	ortholog_one2one	1
Dok6	DOK6	ortholog_one2one	1
Pla2g7	PLA2G7	ortholog_one2one	1
Morc3	MORC4	ortholog_one2one	1
Numb	NUMB	ortholog_one2one	1
Ephb3	EPHB3	ortholog_one2one	1
Helq	HELQ	ortholog_one2one	1
Pigw	PIGW	ortholog_one2one	1
Rab44		ortholog_one2one	0
Pitpnb	PITPNB	ortholog_one2one	1
Usp24	USP24	ortholog_one2one	1
Pithd1	PITHD1	ortholog_one2one	1
Pla2g4d		ortholog_many2many	0
Pla2g4d		ortholog_many2many	1
Pla2g4d		ortholog_many2many	1
Pla2g4d		ortholog_many2many	1
Pla2g4d		ortholog_many2many	0
Pla2g4d		ortholog_many2many	1
St3gal3	ST3GAL3	ortholog_one2one	1
Kng2	KNG1	ortholog_one2many	0
Ppp1r3b	PPP1R3B	ortholog_one2one	1
Rad54l2	RAD54L2	ortholog_one2one	1
Pigz		ortholog_one2one	1
Apon	APOF	ortholog_one2many	0
Ankrd33	ANKRD33	ortholog_one2one	1
Rab20	RAB20	ortholog_one2one	1
Senp7	SENP7	ortholog_one2one	1
Tdrd6	TDRD6	ortholog_one2one	0
Eif2ak1	EIF2AK1	ortholog_one2one	1
Apof	APOF	ortholog_one2many	1
Agpat1		ortholog_one2many	1
Agpat1		ortholog_one2many	0
D630003M21Rik	KIAA1755	ortholog_one2one	1
Scgn	SCGN	ortholog_one2one	1
Ncoa6	NCOA6	ortholog_one2one	1
Gpr142	GPR142	ortholog_one2one	1
Pcsk1	PCSK1	ortholog_one2one	1
Mapk1ip1l	MAPK1IP1L	ortholog_one2many	1
Uhmk1	UHMK1	ortholog_one2one	1
Nup160		ortholog_one2many	1
Nup160		ortholog_one2many	0
Setd6	SETD6	ortholog_one2one	1
P2rx7	P2RX7	ortholog_one2one	1
Scyl2	SCYL2	ortholog_one2one	1
Ccnd3	CCND3	ortholog_one2one	1
Ttl	TTL	ortholog_one2one	1
Ankrd61	ANKRD61	ortholog_one2one	1
Dapk2	DAPK2	ortholog_one2one	1
Aimp2	AIMP2	ortholog_one2one	1
Ncmap	NCMAP	ortholog_one2one	1
Htr2a	HTR2A	ortholog_one2one	1
Commd10	COMMD10	ortholog_one2one	1
Dph6	DPH6	ortholog_one2one	1
Chst3	CHST3	ortholog_one2one	1
Trim23	TRIM23	ortholog_one2one	1
Tbc1d1	TBC1D1	ortholog_one2one	1
Cep89	CEP89	ortholog_one2one	1
Scn4b	SCN4B	ortholog_one2one	1
Ddx54	DDX54	ortholog_one2one	1
Pip4k2b	PIP4K2B	ortholog_one2one	1
Prkx		ortholog_one2one	1
Fstl3	FSTL3	ortholog_one2one	1
Dock3	DOCK3	ortholog_one2one	1
Hyls1	HYLS1	ortholog_one2one	1
Maged2	NSMCE3	ortholog_one2many	0
Atp6ap1l	ATP6AP1L	ortholog_one2one	1
Prss57		ortholog_one2one	0
Ywhab	YWHAB	ortholog_one2one	1
Dnah8	DNAH8	ortholog_one2one	1
Slc6a19	SLC6A19	ortholog_one2one	1
Pus3	PUS3	ortholog_one2one	1
Nhlh2	NHLH2	ortholog_one2one	1
Mgat4c	MGAT4C	ortholog_one2one	1
Znfx1	ZNFX1	ortholog_one2one	1
Hspe1-rs1	HSPE1	ortholog_one2many	1
Crip2	CRIP2	ortholog_one2one	1
A430005L14Rik	C1orf174	ortholog_one2one	1
Cyp39a1	CYP39A1	ortholog_one2one	1
Slc24a4	SLC24A4	ortholog_one2one	1
Prss22		ortholog_many2many	0
Adam28		ortholog_one2one	0
Scamp2	SCAMP2	ortholog_one2one	1
Eri1	ERI1	ortholog_one2one	1
Wdr61	WDR61	ortholog_one2one	1
